Glottocode,language,long,elevation
apat1240,Apatani,1,424
assa1263,Assamese,1,46
bada1257,Badaga,4,1981
balt1258,Balti,10,5605
beng1280,Bengali,1,8
bhil1251,Bhili,16,703
bodo1267,Bodo Gadaba,1,979
bond1245,Bondo,1,100
brok1247,Brokskat,9,3231
bund1253,Bundeli,6,281
cent1990,Central Nicobarese,9,126
duru1236,Duruwa,5,605
gade1236,Gade Lohar,1,219
galo1242,Galo,4,621
gata1239,Gata',1,1174
guja1252,Gujarati,4,105
guja1253,Gujari,1,862
hind1269,Hindi,1,416
hooo1248,Ho,5,135
irul1243,Irula of the Nilgiri,1,32
jaun1243,Jaunsari,5,1143
juan1238,Juang,1,282
kang1280,Kangri,5,674
kash1277,Kashmiri,14,1623
khar1287,Kharia,5,376
khas1269,Khasi,5,38
koda1255,Kodava,8,948
kond1295,Konda-Dora,10,959
konk1267,Maharashtrian Konkani,4,723
kork1243,Korku,1,485
korr1238,Korra Koraga,6,102
kota1263,Kota (India),5,1456
koya1251,Koya,5,111
kuii1252,Kui (India),9,490
kuru1302,Kurukh,6,284
kuvi1243,Kuvi,10,554
lamb1269,Lambadi,11,361
lepc1244,Lepcha,1,1197
mala1464,Malayalam,5,153
mani1292,Manipuri,5,312
mara1378,Marathi,4,649
miju1243,Kman,5,1780
mudh1235,Mudhili Gadaba,6,60
mund1320,Mundari,12,50
nepa1254,Nepali,5,1838
nort2699,Northwestern Kolami,7,265
nucl1305,Kannada,5,709
oriy1255,Odia,1,139
panj1256,Eastern Panjabi,1,227
peng1244,Pengo,5,798
pott1240,Pottangi Ollar Gadaba,5,923
ravu1237,Ravula,6,882
sans1269,Sanskrit,5,491
sant1410,Santali,1,30
saur1248,Saurashtra,5,214
saur1249,Sauria Paharia,5,137
shin1264,Shina,6,3704
sind1272,Sindhi,1,20
tami1289,Tamil,5,106
tase1235,Pangwa Naga,1,834
telu1262,Telugu,5,440
toda1252,Toda,3,347
tulu1258,Tulu,5,86
ural1274,Urali of Idukki,4,550
urdu1245,Urdu,4,50
vaag1238,Vaagri Booli,5,59
yeru1240,Yerukula,8,132
