,language,labiodental,elevation
adze1240,Adzera,1,207
afad1236,Afade,2,293
aghe1239,Aghem,2,1047
aika1237,Aikanã,1,520
akan1250,Akan,1,166
alla1248,Alladian,2,14
amel1241,Amele,1,161
amha1245,Amharic,1,3440
amoo1242,Amo,2,784
apin1244,Apinayé,1,229
apro1235,Aproumu Aizi,2,24
avar1256,Avar,1,646
awng1244,Awngi,1,2024
baat1238,Baatonum,1,379
bamb1269,Bambara,1,386
bash1264,Bashkir,2,231
basq1248,Basque,1,362
beem1239,Beembe,4,358
beja1238,Beja,1,348
bero1242,Berom,2,1221
biss1248,Bissa,2,263
bouy1240,Bouyei,1,774
brah1256,Brahui,2,1328
bret1244,Breton,2,143
bulg1262,Bulgarian,4,98
buru1296,Burushaski,1,3309
came1252,Donga Mambila,2,781
cams1241,Camsá,1,2387
carn1240,Car Nicobarese,1,30
ceba1235,Cebaara Senoufo,2,390
cent1973,Central Pashto,1,1057
cent1989,Central Khmer,1,26
cent2004,Central Bai,2,3046
cent2050,Central Kanuri,1,314
cent2128,Central Siberian Yupik,2,0
cham1312,Chamorro,1,69
chua1250,Chuave,1,2050
chua1256,Chuanqiandian Cluster Miao,2,1077
chuv1255,Chuvash,1,95
cofa1242,Cofán,1,342
dagb1246,Dagbani,2,181
daha1245,Dahalo,2,20
dalo1238,Daloa Bété,2,234
dann1241,Dan,2,324
daur1238,Dagur,1,167
dawr1236,Dawro,1,1936
dizi1235,Dizin,1,2094
doya1240,Doyayo,2,309
east2328,Eastern Mari,1,45
efik1245,Efik,1,25
egyp1253,Egyptian Arabic,1,6
ejag1239,Ejagham,1,220
ewee1241,Ewe,2,114
ewon1239,Ewondo,3,593
fefe1239,Fe'fe',2,1444
fiji1243,Fijian,1,151
finn1318,Finnish,2,66
furr1244,Fur,1,874
fwai1237,Fwâi,2,126
gaaa1244,Ga,2,94
gaam1241,Gaam,1,898
gbag1258,Gbagyi,2,261
gbay1287,Gbaya-Bossangoa,3,476
gras1249,Grass Koiari,1,767
guah1255,Guahibo,2,88
hadz1240,Hadza,1,1277
haka1240,Haka Chin,3,896
hakk1236,Hakka Chinese,1,365
hind1269,Hindi,1,416
hopi1249,Hopi,1,1713
hung1274,Hungarian,2,110
iaai1238,Iaai,1,21
igna1246,Ignaciano,1,159
ikkk1242,Ik,1,1739
iraq1241,Iraqw,1,1767
isla1278,Island Carib,1,758
isok1239,Isoko,3,16
iumi1238,Iu Mien,1,1299
ivat1242,Itbayat,1,97
izon1238,Izon,2,5
jola1263,Jola-Fonyi,1,31
kaba1278,Kabardian,3,1234
kafa1242,Kafa,1,1743
kala1399,Kalaallisut,1,0
kama1365,Kamang,2,839
karo1304,Karok,1,676
katc1249,Katcha-Kadugli-Miri,1,473
kawa1283,Kawaiisu,1,1560
kera1255,Kera,2,328
kirg1245,Kirghiz,1,3699
klao1243,Klao,1,66
kohu1244,Kohumono,2,23
komi1268,Komi-Zyrian,1,125
konk1267,Maharashtrian Konkani,1,723
kory1246,Koryak,1,0
kota1263,Kota (India),1,1456
koya1251,Koya,1,111
