Glottocode,language,trill,elevation
acat1239,Acatepec Me'phaa,1,504
adze1240,Adzera,1,207
afad1236,Afade,1,293
akan1250,Akan,1,166
alaw1244,Alawa,1,147
amoo1242,Amo,1,784
ando1256,Andoque,1,181
arab1268,Arabela,1,182
bard1255,Bardi,1,46
bash1264,Bashkir,1,231
basq1248,Basque,1,362
bata1289,Batak Toba,1,948
bats1242,Bats,1,1048
bero1242,Berom,1,1221
bert1248,Berta,1,897
biss1248,Bissa,1,263
brah1256,Brahui,1,1328
bulg1262,Bulgarian,2,98
carn1240,Car Nicobarese,1,30
cent1973,Central Pashto,1,1057
chip1261,Chipewyan,1,258
chiq1250,Chiquihuitlán Mazatec,1,1897
chuv1255,Chuvash,1,95
dang1274,Dangaleat,1,459
darf1239,Dar Fur Daju,1,609
dhuw1249,Dhuwal,1,99
dier1241,Dieri,1,19
dyir1250,Dyirbal,1,858
east2347,Eastern Tamang,1,1864
egyp1253,Egyptian Arabic,1,6
epen1239,Epena,1,22
even1260,Even,1,0
fiji1243,Fijian,1,151
finn1318,Finnish,1,66
furr1244,Fur,1,874
gaaa1244,Ga,1,94
gaam1241,Gaam,1,898
gara1269,Garrwa,1,205
gily1242,Nivkh,2,365
guah1255,Guahibo,1,88
guer1243,Guerrero Amuzgo,1,378
halh1238,Halh Mongolian,1,1305
haus1257,Hausa,1,600
hind1269,Hindi,1,416
hung1274,Hungarian,1,110
iban1264,Iban,1,121
ikkk1242,Ik,1,1739
indo1317,Indonesian Bajau,1,37
isok1239,Isoko,1,16
itel1242,West Itelmen,1,124
ivat1242,Itbayat,1,97
java1254,Javanese,1,112
kaba1278,Kabardian,1,1234
kala1377,Kala Lagaw Ya,1,137
kama1365,Kamang,1,839
kash1277,Kashmiri,1,1623
katc1249,Katcha-Kadugli-Miri,1,473
kera1255,Kera,1,328
khan1273,Kazym-Berezover-Suryskarer Khanty,1,54
khas1269,Khasi,1,38
khmu1256,Khmu,1,953
kirg1245,Kirghiz,1,3699
kohu1244,Kohumono,1,23
komi1268,Komi-Zyrian,1,125
komo1258,Komo (Sudan),1,767
kory1246,Koryak,1,0
kota1263,Kota (India),1,1456
kumi1248,Tipai,1,297
kuna1268,Kunama,1,1058
kups1238,Kupsabiny,1,2719
kuru1302,Kurukh,2,284
lakk1252,Lak,1,2018
lith1251,Lithuanian,2,54
lugb1240,Lugbara,1,1225
luis1253,Luiseno,1,742
lusi1240,Lusi,1,92
maba1277,Maba (Chad),1,509
manc1252,Manchu,1,187
marg1265,Marghi Central,1,426
masa1300,Masai,1,1187
maun1240,Mawng,1,28
mbab1239,Mbabaram,1,341
mbum1254,Mbum,1,830
mogh1245,Mogholi,2,942
moro1285,Moro,1,745
mull1237,Mullukmulluk,1,40
mund1320,Mundari,1,50
murl1244,Murle,1,452
murr1258,Murriny Patha,1,0
nama1264,Nama (Namibia),1,1170
nana1257,Nanai,1,34
nara1262,Nara,1,788
nene1249,Tundra Nenets,2,0
ngan1291,Nganasan,1,0
ngar1284,Ngarinyin,1,511
ngas1240,Ngas,1,1130
ngiz1242,Ngizim,1,360
nobi1240,Nobiin,1,277
nort2641,Northern Kurdish,1,697
nort2745,Northern Yukaghir,1,0
nort2815,Northeastern Dinka,1,401
nucl1235,Eastern Armenian,1,1912
nucl1240,Mumuye,1,543
nucl1301,Turkish,1,1138
nucl1302,Georgian,1,1338
nucl1339,Temein,1,842
nung1290,Wubuy,1,6
nyan1313,Nyang'i,1,1369
nyis1236,Nyishi-Hill Miri,1,996
ormu1247,Ormuri,1,2281
paco1243,Pacoh,1,757
paiw1248,Paiwan,1,608
para1311,Paraguayan Guaraní,1,184
pech1241,Pech,1,411
plat1254,Plateau Malagasy,1,1653
pohn1238,Pohnpeian,1,537
pure1242,Purepecha,1,2340
pwon1235,Pwo Northern Karen,1,1113
roma1327,Romanian,1,348
ruka1240,Rukai,1,1689
russ1263,Russian,2,185
rutu1240,Rutul,1,1950
sali1298,Sáliba,1,119
sanm1287,San Mateo del Mar Huave,1,5
sanm1295,San Miguel El Grande Mixtec,1,2279
seda1262,Sedang,3,1287
sout2674,South Saami,2,141
sout2991,South Bolivian Quechua,1,4156
stan1288,Spanish,1,1202
stan1290,French,1,124
stan1295,German,1,368
tach1250,Tachelhit,2,904
taha1241,Tahaggart Tamahaq,1,760
tama1331,Tama (Chad),1,1045
tamp1252,Tampulma,1,129
tehu1242,Tehuelche,1,299
tera1251,Tera,1,363
tetu1245,Tetum,1,317
tiga1245,Tigak,1,44
tigr1270,Tigre,1,2112
timn1235,Timne,1,48
tiru1241,Tiruray,1,435
tosk1239,Northern Tosk Albanian,1,88
trum1247,Trumai,1,284
tulu1258,Tulu,1,86
tuni1252,Tunica,1,40
tuuu1240,Tu,1,2746
tuvi1240,Tuvinian,1,613
twee1234,Tweed-Albert,1,51
wame1240,Wamey,2,79
wara1290,Warray,1,29
wayu1243,Wayuu,1,37
west2369,Western Farsi,1,2174
west2600,West Makian,1,392
wikm1247,Wik-Mungkan,1,32
yaku1245,Sakha,1,875
yany1243,Yanyuwa,1,57
yess1239,Yessan-Mayo,1,21
yidi1250,Yidiñ,1,7
yulu1243,Yulu,1,680
zulu1248,Zulu,1,537
