Glottocode,language,labiodental,elevation
adze1240,Adzera,1,207
akan1250,Akan,1,166
aleu1260,Aleut,2,82
amha1245,Amharic,2,3440
apin1244,Apinayé,1,229
awng1244,Awngi,1,2024
basq1248,Basque,1,362
beem1239,Beembe,4,358
bouy1240,Bouyei,2,774
bret1244,Breton,2,143
bulg1262,Bulgarian,4,98
buru1296,Burushaski,1,3309
cent1973,Central Pashto,1,1057
cent1989,Central Khmer,1,26
cent2050,Central Kanuri,1,314
cham1312,Chamorro,1,69
chuv1255,Chuvash,1,95
copa1236,Copainalá Zoque,1,526
dagb1246,Dagbani,2,181
east2328,Eastern Mari,1,45
egyp1253,Egyptian Arabic,3,6
ewee1241,Ewe,2,114
finn1318,Finnish,2,66
gaaa1244,Ga,2,94
gbay1287,Gbaya-Bossangoa,3,476
gily1242,Nivkh,2,365
hakk1236,Hakka Chinese,1,365
hebr1245,Modern Hebrew,2,515
hind1269,Hindi,4,416
hopi1249,Hopi,1,1713
hung1274,Hungarian,4,110
iaai1238,Iaai,1,21
icel1247,Icelandic,2,0
igna1246,Ignaciano,1,159
iraq1241,Iraqw,1,1767
isla1278,Island Carib,1,758
iumi1238,Iu Mien,1,1299
kaba1278,Kabardian,3,1234
kala1399,Kalaallisut,1,0
karo1304,Karok,2,676
kirg1245,Kirghiz,1,3699
komi1268,Komi-Zyrian,2,125
kota1263,Kota (India),1,1456
koyr1242,Koyraboro Senni Songhai,1,261
kunj1245,Kunjen,1,162
lahu1253,Lahu,2,1476
lakk1238,Lakkia,1,767
libe1247,Liberia Kpelle,3,285
lith1251,Lithuanian,2,54
lugb1240,Lugbara,2,1225
luok1236,Luo (Kenya and Tanzania),1,1467
luva1239,Luvale,2,1078
malt1254,Maltese,3,44
mand1415,Mandarin Chinese,1,88
maor1246,Maori,1,451
marg1265,Marghi Central,3,426
mode1248,Modern Greek,2,190
moro1292,Moroccan Arabic,3,352
ngas1240,Ngas,2,1130
nobi1240,Nobiin,2,277
nort2697,North Azerbaijani,2,276
norw1259,Norwegian Bokmål,2,20
nucl1235,Eastern Armenian,2,1912
nucl1301,Turkish,2,1138
nucl1347,Wolof,1,53
nucl1417,Igbo,2,8
nucl1632,Sentani,1,74
panj1256,Eastern Panjabi,1,227
para1311,Paraguayan Guaraní,2,184
plat1254,Plateau Malagasy,2,1653
port1283,Portuguese,3,445
pure1242,Purepecha,1,2340
roma1327,Romanian,2,348
russ1263,Russian,4,185
sinh1246,Sinhala,1,51
soma1255,Somali,1,211
sout2982,Southeastern Pomo,1,439
stan1288,Spanish,1,1202
stan1290,French,2,124
stan1293,English,2,22
stan1295,German,3,368
stan1306,Standard Malay,2,54
swah1253,Swahili,2,200
taba1266,Tabasco Chontal,1,3
taga1270,Tagalog,1,93
tamn1235,Tamnim Citak,1,19
tari1263,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,2,408
tele1256,Telefol,1,2130
telu1262,Telugu,1,440
thai1261,Thai,1,3
ticu1245,Ticuna,1,150
tigr1270,Tigre,2,2112
tosk1239,Northern Tosk Albanian,2,88
tuni1252,Tunica,1,40
tzel1254,Tzeltal,1,2091
viet1252,Vietnamese,2,8
west2369,Western Farsi,2,2174
wuch1236,Wu Chinese,2,205
yaku1245,Sakha,2,875
yuec1235,Yue Chinese,1,-3
zulu1248,Zulu,2,537
