Glottocode,language,long,elevation
adam1253,Adamawa Fulfulde,5,370
akoo1248,Akoose,10,859
anuf1239,Anufo,7,137
avok1242,Avokaya,7,853
baan1242,Baangi,9,410
bafu1246,Bafut,9,822
bamb1269,Bambara,7,386
band1352,Bandi,7,385
bekw1241,Bekwarra,5,96
beng1286,Beng,7,214
bimo1239,Bimoba,6,177
bini1246,Bini,7,126
came1252,Donga Mambila,6,781
cent2018,Central-Eastern Niger Fulfulde,5,471
cerm1238,Cerma,7,314
degg1238,Deg,10,163
doya1240,Doyayo,12,309
emai1241,Emai-Iuleha-Ora,7,148
fefe1239,Fe'fe',8,1444
fuli1240,Fuliiru,5,1629
gagn1235,Gagnoa Bété,13,211
gand1255,Ganda,5,1295
gonj1241,Gonja,7,93
gour1243,Gourmanchéma,5,201
hain1253,Hainyaxo Bozo,7,283
haus1257,Hausa,6,600
jola1263,Jola-Fonyi,5,31
jurm1239,Jur Modo,9,492
kabi1261,Kabiyé,9,191
kase1253,Kasem,20,277
kiku1240,Kikuyu,7,2715
kita1249,Kita Maninkakan,7,344
konk1269,Konkomba,6,149
koon1245,Koonzime,12,675
koyr1240,Koyra Chiini Songhay,5,264
kusa1250,Kusaal,9,173
lako1244,Lakota Dida,9,165
lama1275,Lama (Togo),11,457
lamn1239,Lamnso',6,1352
lele1276,Lele (Chad),5,399
libe1247,Liberia Kpelle,7,285
lukp1238,Lukpa,10,397
maas1239,Maasina Fulfulde,5,298
maka1304,Makaa,10,693
mama1271,Mamara Senoufo,7,323
mamp1244,Mampruli,5,152
mofu1248,Mofu-Gudur,2,730
moss1236,Mossi,8,157
murl1244,Murle,7,452
mwag1236,Mwaghavul,4,1330
nafa1258,Nafaanra,7,307
nawd1238,Nawdm,7,333
ngas1240,Ngas,2,1130
nige1255,Western Mambila,8,1281
noma1260,Nomaande,7,759
nort2765,Northern Kissi,7,416
nort2775,Northwest Gbaya,7,961
nort2784,Northern Nuni,10,285
nort2819,Northern Bobo Madaré,6,467
ntch1242,Ntcham,2,243
nucl1347,Wolof,16,53
nupe1254,Nupe-Nupe-Tako,3,127
pula1262,Pular,5,123
pula1263,Pulaar,5,47
rend1243,Rendille,5,532
saba1262,Sabaot,8,3036
sena1262,Senara Sénoufo,14,361
sere1260,Sereer,5,4
siss1242,Sissala of Burkina Faso,18,292
soni1259,Soninke,26,157
sout2789,Central Dagaare,9,342
suda1236,Sudanese Arabic,32,504
susu1250,Susu,7,238
tama1365,Tamasheq,7,292
tawa1286,Tawallammat Tamajaq,7,282
tika1246,Tikar,6,815
toro1252,Toro So Dogon,7,279
tour1242,Toura (Côte d'Ivoire),9,546
vagl1239,Vagla,10,345
veng1238,Vengo,8,1680
vute1244,Vute,8,894
waam1244,Waama,14,477
weno1238,Wobe-Wè Northern,9,314
west2466,Western Karaboro,7,292
zarm1239,Zarma-Kaado,8,178
